id;full_sq;life_sq;floor;preschool_education_centers_raion;school_education_centers_raion;school_education_centers_top_20_raion;university_top_20_raion;sport_objects_raion;additional_education_raion;culture_objects_top_25_raion;shopping_centers_raion;metro_km_walk;kindergarten_km;school_km;park_km;green_zone_km;mkad_km;bulvar_ring_km;kremlin_km;price_doc
22;39;39;7;3;4;0;0;10;1;0;1;1.955759667;0.853441652;0.479054865;0.913520199;0.371157616;3.855370961;12.65264442;13.91848212;5200000
23;48;34;6;5;5;0;0;1;2;0;5;1.490113398;0.597949311;0.335631697;1.695243419;0.219683194;1.855884204;14.97129794;16.22013333;6250000
24;32;18;3;5;5;0;0;5;3;0;6;0.057254798;0.166564464;0.426455173;3.206930829;0.484075935;3.84295599;14.57672238;15.20493154;5750000
25;34;19;11;3;4;0;0;10;1;0;1;2.554688986;0.145299398;1.216064073;1.667604688;0.088997519;1.174998286;14.55535923;15.76595734;6000000
26;45;29;9;5;7;1;0;6;0;0;5;1.208360642;0.354139979;0.217198308;1.265683402;0.015624417;4.624835439;9.281838495;10.15250217;1050000
27;35;20;4;4;4;0;0;10;3;0;9;1.022217114;0.277521108;0.081256283;1.66216201;0.295890764;3.947583365;10.77230453;12.2453805;5000000
28;38;20;6;7;7;0;0;6;4;0;1;1.093260768;0.40980408;0.187099572;2.361150959;0.564688871;4.852239528;18.82836288;19.68847158;4700000
29;73;38;15;7;9;0;0;8;4;0;2;0.94184193;0.07491016;0.307314519;1.697309192;0.037287047;6.03254832;7.280129969;9.068351888;8254400
30;42;27;3;4;6;0;1;13;3;0;3;2.484937176;0.39787048;0.220083954;1.939689454;0.484754927;4.35985422;9.976303285;11.55160025;5900000
31;40;20;12;8;9;0;0;6;2;0;10;0.376415529;0.201285635;0.412225451;1.432166184;0.013879313;0.993029213;13.25307964;14.41586649;6200000
32;81;46;24;4;4;0;0;10;2;0;1;1.252231085;0.203448884;0.39355036;0.870512285;0.675025267;2.019346687;13.63200242;15.01059889;18300000
33;38;34;2;5;5;0;0;7;3;0;16;2.460007764;0.151204992;0.295021282;2.840981239;0.269430621;0.227407096;14.58089113;16.04707598;4900000
34;31;18;4;5;5;0;1;7;6;0;3;2.01780104;0.421546242;0.216803106;1.809211017;0.415969614;6.647772254;11.8771371;12.33917428;4400000
35;39;19;1;2;3;0;0;1;0;0;0;22.03631347;1.493430312;0.243587382;16.46505435;0.03483544;19.01027534;35.93282777;37.20515244;3900000
36;39;20;1;13;14;0;0;16;16;0;15;0.978290417;0.304908753;0.395545731;1.08871013;0.130523909;3.485169121;13.38474944;14.18326607;4850000
37;37;19;9;10;13;0;0;13;1;0;4;0.681341267;0.254633349;0;0.363266;0.116891181;4.944343346;9.751334006;10.69493206;5700000
38;27;27;4;4;5;0;0;6;4;0;2;0.561489252;0.721969351;0.478506556;0.599851905;0.395951886;4.861965738;14.12635315;14.61997452;4300000
39;33;18;2;6;7;0;0;7;0;0;4;1.094662246;0.095883744;0.490488618;1.233240527;0.794951927;1.614760669;10.95590143;12.32333481;4500000
40;33;18;9;6;7;0;0;7;0;0;4;2.449453429;0.10199695;0.351554034;1.169702697;0.473971446;0.881972631;11.33974676;12.85543932;2000000
41;45;30;5;5;9;0;0;12;5;0;11;1.564102024;0.355383252;0.695074345;1.876652196;0.534243777;10.94509621;3.163427525;3.921425922;6200000
42;54;30;10;4;5;0;0;6;4;0;2;1.938192244;0.341630336;0.699696834;1.104752979;0.337713286;5.73186055;12.69200683;13.19335936;7500000
43;40;25;3;2;3;1;0;9;3;0;1;0.643232083;0.379292892;0.903590408;0.375318881;0.260543133;6.137016113;7.345446796;9.145116862;5900000
44;59;42;8;5;5;0;0;11;3;0;11;0.35652433;0.191255565;0.231882437;2.704321924;0.102982127;4.044370827;11.95784992;12.69310373;9550000
45;77;45;10;6;6;0;0;3;1;0;5;1.162678143;0.39791874;0.259492749;0.726939493;0.053151036;2.731457231;14.10279014;14.91321439;8600000
46;42;22;24;9;10;0;0;17;6;0;11;0.943533087;0.958373922;0.631865989;0.973781198;0.038322553;1.360069848;16.76714792;17.94890404;2312800
47;38;23;4;2;3;0;0;6;3;0;1;0.912167881;0.365281298;0.473672546;3.849273397;0.086681926;1.999514331;10.71146518;12.45895118;6200000
48;36;18;5;7;7;0;0;6;4;0;1;0.702691939;0.260787762;0.806864642;1.636343417;0.025446586;4.226322609;18.06342809;18.93333859;4833000
49;44;28;2;4;6;0;1;13;3;0;3;5.83506985;0.214012207;0.465562254;1.925105161;0.016884607;1.395830959;12.63229363;14.27223184;5300000
50;37;19;11;3;3;0;0;3;2;0;5;2.9376331;0.31651531;0.580091591;1.134627249;0.34814866;2.493022009;13.00164405;14.41877416;5150000
51;51;33;1;4;5;0;0;6;4;0;2;0.561489252;0.721969351;0.478506556;0.599851905;0.395951886;4.861965738;14.12635315;14.61997452;1000000
52;37;19;6;10;11;0;0;11;11;0;8;0.340514554;0.108953717;0.279283831;4.0543852;0.05816249;1.209854944;15.00557755;16.17954734;5098000
53;46;29;9;4;7;0;0;5;1;0;0;1.893008476;0.353233599;0.249973573;1.552824552;0.160669926;6.245811543;6.723576461;7.907519074;5500000
54;38;37;11;1;2;0;0;10;3;1;3;0.719850819;0.741339345;0.684615744;3.101607402;0.011110305;12.52081913;4.515584811;5.048867488;6000000
55;34;19;10;10;13;0;0;13;1;0;4;1.501226217;0.148280126;0.078577813;0.982712126;0.200930226;5.617279391;10.95622059;11.81055208;4800000
56;43;25;1;4;4;0;0;7;1;0;5;1.024911685;0.302134143;0.245446122;1.57469343;0.190109006;2.670126368;9.478038082;11.06517573;5500000
57;56;39;4;7;9;0;0;8;4;0;2;0.190834134;0.065045418;0.233796372;2.23860333;0.268605484;5.322075093;7.983795029;9.766482309;2000000
58;35;35;6;11;13;1;0;13;4;0;4;1.097628521;0.080003244;0.807122586;1.90863428;0.142656498;6.490739204;24.20751197;24.90618499;5000000
59;75;46;12;4;6;0;0;5;10;0;3;0.799556086;0.303246309;0.265200777;0.760969397;0.52655498;6.84027671;8.004437477;9.204766851;9950000
60;64;44;14;5;5;0;0;5;3;0;6;1.194724026;0.32381235;0.198752045;2.458767813;0.221275478;3.249057144;14.9742608;15.61823375;990000
61;96;51;16;4;4;0;0;7;1;0;4;3.844630661;2.795812969;0.906725331;0.505996008;0.090942352;1.511280575;18.27262741;19.58152764;14000000
62;52;34;4;4;6;0;0;16;3;0;6;1.504969985;0.109571611;0.353830768;2.919862258;0.186207633;3.483136727;9.745462569;11.53828421;7200000
63;44;30;10;2;3;1;0;9;3;0;1;0.347670218;0.10945782;0.343581913;1.257708166;0.186708532;7.16511149;6.189215132;7.988774995;8400000
64;39;39;10;4;4;0;0;7;1;0;5;0.762762114;0.090154457;0.640564721;0.424503426;0.204196741;1.190864628;10.96532471;12.53908266;2080000
65;35;20;11;1;2;0;0;10;3;1;3;0.478666704;0.10753842500000001;0.771475573;2.232700551;0.148153743;11.18034947;5.505114464;6.122810056;5750000
66;63;60;12;4;4;0;0;6;0;0;0;1.378377602;0.405839482;0.263393328;0.645155343;0.068053903;1.517672092;12.92265869;14.35624953;10011000
67;50;29;9;8;9;0;0;6;2;0;10;0.434669342;0.673848346;0.263758865;1.294504295;0.086102623;0.541867443;13.71830574;14.88441338;1000000
68;51;50;16;1;2;0;0;10;3;1;3;0.719850819;0.741339345;0.684615744;3.101607402;0.011110305;12.52081913;4.515584811;5.048867488;7100000
69;76;45;11;1;2;0;1;8;5;0;0;1.004384833;0.366666698;0.183412701;0.720365993;0.279711228;6.591201642;7.891963329;9.404261411;2000000
70;45;30;6;6;6;0;0;4;2;0;4;0.857874238;0.063500038;0.262097352;2.136214892;0.113526848;2.048425373;15.81882176;16.45202723;6600000
71;32;19;9;5;5;0;0;7;3;0;16;1.420941077;0.121816657;0.346548617;2.65379183;0.208182461;1.109297949;13.76257499;15.23459354;5300000
72;64;28;10;2;3;0;0;7;3;0;6;1.403701223;0.286649968;0.111822841;1.499538353;0.291386174;1.484968123;12.22000369;13.08630242;2630000
73;66;17;2;5;10;0;1;24;1;1;19;0.709342017;0.097215548;0.47286472;0.640666556;0.12356768;10.52640568;1.918323893;3.236725501;2600000
74;38;19;8;4;4;0;0;6;2;0;5;2.238757264;0.183045805;0.437260096;0.437772941;0.462472317;2.507718064;13.49695771;14.9674249;4550000
75;37;22;6;1;2;0;0;10;3;1;3;0.230053803;0.562915223;0.981492784;1.921155221;0.29128346;11.15187678;3.835146712;4.549846342;7400000
76;46;28;3;10;11;0;0;11;11;0;8;0.928533144;0.505321155;0.85871115;1.959159833;0.625006038;1.907970804;10.84805419;12.16178667;5300000
77;74;46;17;7;7;1;0;7;2;0;6;1.161512615;0.326301802;0.332260748;2.939770072;0.098220275;0.580488661;17.14325489;17.81151777;8900000
78;30;17;7;8;8;1;0;7;8;0;5;1.520002428;0.239743212;0.764591874;1.518669073;0.56896958500000006;2.612629862;10.33749917;11.55109863;4950000
79;53;30;13;5;6;0;0;3;2;0;5;2.339273138;0.425185798;0.612424333;2.30664343;0.158797991;0.138288286;15.20941178;15.95980721;7800000
80;133;64;2;4;6;0;0;16;3;0;6;0.545249758;0.048397656;0.676589607;2.927572541;0.125808403;2.332038123;10.68956093;12.47054357;17600000
81;47;31;1;6;7;0;0;5;3;0;5;0.482206038;0.16218151;0.430574976;1.704315885;0.783198687;2.597116955;11.11016088;12.90687237;1000000
82;50;30;9;11;13;1;0;13;4;0;4;1.027424441;0.107193422;0.754133847;1.804629068;0.26887925;4.998718049;22.95607802;23.6381015;990000
83;34;19;8;4;4;0;0;10;2;0;1;1.177835698;0.141020435;0.3599297;0.300930889;0.375444562;1.478967241;14.04868771;15.44433705;1000000
84;66;42;7;7;9;0;2;25;2;0;10;1.036793586;0.19631775;0.937934843;2.765772174;0.639098131;8.624304877;4.015049698;5.798406149;990000
85;63;33;2;11;13;1;0;13;4;0;4;0.661688444;0.122806123;0.372242763;2.284418322;0.188103641;3.993575547;22.18643867;22.85345731;9000000
86;43;21;7;3;3;0;0;6;2;0;3;0.811845978;0.461938531;0.590279074;0.605408172;0.138509477;2.242605968;12.21429793;13.68062591;6700000
87;45;44;5;7;9;0;0;8;4;0;2;2.341981806;0.092386377;0.183946654;2.804261717;0.332676094;6.625024867;6.710780385;8.454494232;990000
88;34;20;7;2;3;0;0;1;0;0;0;20.87965074;1.884945799;0.301750282;15.95181867;0.50843367;18.47572233;35.39991987;36.66979069;4000000
89;43;28;9;2;4;0;0;10;2;0;5;1.502974765;1.899137877;0.808720963;1.008101739;0.432038764;4.435156738;10.4268355;11.61569282;4450000
90;76;74;7;5;5;0;0;11;3;0;11;1.250544682;0.289766719;0.380624201;2.899437605;0.017400485;2.991220642;12.73056724;13.47367148;12500000
91;32;19;8;6;8;0;1;11;1;0;4;1.433378552;0.302899671;0.771420678;1.280398434;0.131824156;3.052257104;11.83217166;12.58901859;3775000
92;50;30;5;5;5;0;0;18;1;0;6;0.966685685;0.779995061;0.140869887;0.274266528;0.197829595;7.283013965;6.793224689;7.640407131;9500000
93;32;18;8;8;9;2;1;14;2;0;9;1.12569555;0.309736806;0.350366963;1.464110226;0.226189914;3.575587947;10.95681367;11.73428115;990000
94;72;45;1;6;6;0;0;6;1;0;8;0.47644322;0.107189839;0.126923873;2.160057315;0.323773907;1.16140312;19.52564128;20.17649107;7000000
95;45;30;3;4;4;0;0;10;3;0;9;1.390862108;0.093724638;0.258267089;0.964425213;0.281102148;5.14056776;10.14472604;11.63605008;6504000
96;54;37;4;5;8;1;1;23;2;2;5;0.782002776;0.301761912;0.510234738;0.151550044;0.198958629;11.34263585;2.346110255;3.112845828;12900000
97;30;18;1;3;4;0;0;10;1;0;1;1.278228019;0.839217575;0.29596908;1.64117121;0.073929561;2.088761908;14.20526696;15.43932721;500000
98;39;18;8;5;5;0;1;7;6;0;3;3.703694635;1.144240306;0.227652544;0.236984853;0.554386452;5.331116306;12.71893036;13.29110581;9500000
99;51;30;15;5;5;0;0;4;3;0;5;1.480979839;0.216600578;0.487855407;1.13201003;0.097369772;2.16168796;16.25439733;17.09906771;7100000
100;74;45;7;6;6;0;0;4;2;0;4;0.517136126;0.334587697;0.637572279;1.599172707;0.121336121;2.577019724;15.95803879;16.47937366;990000
101;41;25;5;4;7;0;0;5;1;0;0;0.738128289;0.351302072;0.638290717;1.172123899;0.101045763;6.668938434;6.580525286;7.658443944;5350000
102;37;16;9;5;7;0;0;10;0;0;4;0.783294135;0.194839419;0.296733448;1.333550227;0.153436888;11.2822083;2.259413897;3.103263595;8600000
103;44;28;4;5;5;0;0;7;3;0;16;1.202639468;0.061154274;0.595054256;1.675130177;0.192241954;1.037709274;14.25352119;15.73710593;5950000
104;38;34;3;4;4;0;0;6;0;0;0;0.522863064;0.325221462;0.735859226;1.022946786;0.025313537;1.324455626;13.13087874;14.59283418;2900000
105;26;1;6;4;8;0;0;12;1;0;5;0.417108702;0.424594652;0.431931872;1.1073323;0.483662902;7.084068912;8.742887875;10.22408395;4146000
106;34;19;9;7;9;0;0;8;4;0;2;1.267833524;0.331765118;0.397348618;2.247678306;0.310569245;7.060329272;6.248050285;8.022196984;5200000
107;52;30;1;5;5;0;0;4;3;0;3;1.578210191;0.125348365;0.278466598;0.682802212;0.345908079;1.980020185;14.0614644;15.55295113;6300000
108;74;43;14;3;3;0;0;3;2;0;5;3.135993143;0.098637459;0.5354082;1.079979382;0.098448851;1.907637818;13.64352674;15.06995554;1000000
109;46;27;14;4;6;0;0;16;3;0;6;0.389418799;0.630547229;0.615356297;1.242923775;0;5.82634457;7.022647664;8.807559671;7200000
110;77;40;15;4;4;0;0;10;2;0;1;2.442320216;0.31317202;0.205711904;0.569700677;0.269340865;2.838208625;12.68645895;14.08102571;13800000
111;44;20;8;5;5;0;0;4;5;0;2;0.301075232;0.239124883;0.422632652;1.162936141;0.40084622600000003;6.306531971;8.343813492;9.255590411;6200000
112;54;31;1;7;9;0;0;8;4;0;2;1.843587691;0.115694022;0.112405411;2.286746132;0.530374874;6.689999667;6.621195899;8.391636715;6800000
113;74;72;8;6;6;0;0;4;1;0;4;22.43893282;0.432335755;0.303935099;18.13536316;0.06191373;20.47197331;37.39011189;38.63354573;7200000
114;46;28;4;4;4;0;1;12;1;0;7;0.710358337;0.086015554;0.809865449;2.113286009;0.497697669;8.062816388;4.095862392;5.761174676;6350000
115;32;19;8;6;7;0;0;5;3;0;5;1.869872045;0.682472741;0.88653111;2.435315435;0.808651426;3.143018246;10.41623657;12.21702258;4750000
116;50;30;8;4;4;0;0;6;2;0;5;4.29921213;0.119123676;0.417344238;0.711171296;0.543505797;0.90453453;15.08257593;16.54739564;6100000
117;58;43;4;7;7;0;0;7;7;0;7;2.132161669;0.096747326;0.14066143;0.401682991;0.262569393;0.803223527;16.44611201;17.17148587;8100000
118;54;32;15;7;7;0;0;6;4;0;1;1.293834917;0.574910662;0.273778613;2.233503489;0.680658848;4.684064986;18.68155584;19.53960009;6800000
119;32;17;3;5;5;0;0;10;3;0;11;1.162929207;0.112151179;0.516207399;3.741827785;0.25949198;5.381477088;12.82749545;13.46359069;4650000
120;78;47;6;6;6;0;0;7;3;0;0;1.959926908;0.185369608;0.143275523;1.430817871;0.443993771;5.315251998;7.644161353;8.839252407;5759000
121;51;31;12;10;11;0;0;11;11;0;8;0.987816607;0.19829376;0.895697859;2.13832445;0.121873257;1.491623305;11.29947456;12.59036994;990000
122;36;34;2;5;5;0;0;4;3;0;3;1.534458846;0.105154708;0.134685285;0.693248443;0.2629322;1.838923663;14.202196;15.69361904;2000000
123;57;33;2;3;3;0;0;0;0;0;1;21.79952584;0.66918352;0.221701087;17.23196157;0.200397686;19.71444525;36.64103762;37.90361367;6100000
124;39;20;8;2;3;0;0;7;3;0;6;1.45383815;0.121919776;0.130557047;1.30922116;0.021291863;1.873086576;11.84055891;12.70520529;1200000
125;61;42;1;5;8;1;1;23;2;2;5;0.608073402;0.178289557;0.241424102;0.641178483;0.298218632;10.51626944;2.955687923;3.778450629;11000000
126;52;30;5;7;9;0;0;8;4;0;2;2.187305216;0.276231562;0.102058795;2.993600405;0.126461788;6.826446253;6.522879918;8.259983941;7950000
127;48;31;5;1;2;0;0;10;3;1;3;0.829196753;0.174335651;0.616470738;2.383025754;0.269905002;11.35354455;5.525677841;6.12786558;8000000
128;39;21;6;6;6;0;0;4;2;0;4;1.829466821;0.193281124;0.170541454;1.652465507;0.176590653;3.444948867;14.41190297;15.03695598;4950000
129;325;325;7;7;8;1;0;5;0;0;1;1.070555937;0.16140814;0.369984359;0.432342272;0.317645218;0.675466112;11.46903584;13.06619003;5000000
130;51;31;15;4;4;0;1;12;1;0;7;0.229157642;0.24200826;0.816095692;2.587455639;0.522883408;8.450133261;3.818302892;5.53869081;8300000
131;33;32;5;4;6;0;0;3;2;0;5;1.736568973;0.105580293;0.521269559;1.138278863;0.021416738;4.455540972;11.05167548;12.44714801;4800000
132;40;20;3;7;8;1;0;5;0;0;1;4.062666043;0.085609069;0.282823119;3.036494751;0.377864018;0.461210898;11.95645728;13.66865858;4850000
133;47;29;3;4;4;0;0;10;3;0;9;1.733564215;0.388118407;0.692615928;1.033322754;0.111377625;3.71183122;10.83970118;12.29626777;2000000
134;37;19;1;6;8;0;1;11;1;0;4;1.7130908;0.756772399;0.181428171;0.580157032;0.060055936;5.457272478;9.869710109;10.61340392;5900000
135;44;27;4;5;5;0;0;11;3;0;11;1.424723973;0.16674567;0.526875087;2.757208049;0.364887489;4.594302748;11.79882981;12.52351362;6000000
136;32;20;2;4;4;0;1;12;1;0;7;1.349427673;0.080559592;1.190114615;2.737197568;1.047523093;7.89124546;4.357109631;6.067378669;4700000
137;53;32;1;5;5;0;0;1;0;0;4;1.102579863;0.14477584;0.290270347;2.08488793;0.144202592;0.956967582;13.1892683;14.71686976;6100000
138;55;35;3;7;9;0;0;8;4;0;2;2.244111397;0.286758667;0.270397774;2.441816034;0.518684912;6.621881928;6.696045768;8.456131078;7450000
139;51;28;3;5;10;0;1;24;1;1;19;1.529815565;0.073859716;0.290264837;0.45513028;0.358353403;9.301388595;3.258322685;4.538423495;5000000
140;32;19;7;4;6;0;0;10;3;0;10;1.593590889;0.159570573;0.728722287;1.498554753;0.16578653;11.34648398;7.044674747;7.527602727;4750000
141;22;14;9;4;4;0;0;6;2;0;5;2.365274766;0.124054644;0.157563528;0.422875245;0.022593857;2.365687467;13.5027619;14.96447148;3500000
142;36;17;10;6;6;0;0;4;2;0;4;2.170434154;0.222693213;0.100195062;1.403013447;0.250273924;3.23650881;14.51822905;15.15935434;2000000
143;44;27;1;4;4;0;0;6;0;0;0;0.887498003;0.220632935;0.291782034;1.209948452;0.17227921400000001;0.964325216;13.47753699;14.90243674;6000000
144;62;34;7;4;6;0;0;16;3;0;6;0.449063057;0.207836815;0.696669561;2.839257104;0.306524085;2.555380266;10.5461379;12.33199336;1000000
145;43;27;7;6;6;0;0;8;3;0;3;4.088879052;0.07811381;0.07934222;0.822136234;0.364170715;2.175566056;17.21431011;17.7292386;1500000
146;51;30;3;6;7;0;0;5;3;0;4;1.362786634;0.198324593;0.248595709;1.394583195;0.681773037;1.286035648;12.16661318;13.95951442;8150000
147;102;64;11;4;4;0;1;14;4;0;8;0.972213414;0.240834994;1.163061717;3.24623721;0.812672448;6.742514533;5.574327532;7.291411509;4600000
148;117;108;20;4;6;0;0;10;3;0;10;1.354794032;0.604792146;0.157044672;1.851824975;0.491644776;11.1447365;7.544537023;8.067295599;14103600
149;31;20;1;5;8;0;0;6;1;1;3;1.935097562;0.180762316;0.170508091;1.590233234;0.193642268;9.164248029;7.265588571;7.946767256;5600000
150;59;42;9;4;4;0;0;3;2;0;4;2.211125643;0.147285689;0.496273464;1.138102266;0.341339048;3.027004846;13.07586417;14.55797322;6200000
151;30;18;3;10;13;0;0;13;1;0;4;0.358443911;0.30212936;0.58448733;1.37633226;0.241298497;4.361895839;10.77984302;11.71993975;4450000
152;54;32;13;7;7;0;0;6;4;0;1;1.652305217;0.212436839;0.178830343;3.559235837;0.610414506;6.13904112;19.88111355;20.75609694;7050000
153;46;22;11;5;5;0;0;5;3;0;6;0.412380698;0.406072677;0.397236538;3.328954846;0.25540661;4.090827961;14.29520478;14.92453316;1000000
154;39;22;18;5;5;0;1;9;5;0;2;1.583142947;0.282575772;0.636533918;1.416743098;0.500875647;4.681360699;10.09458779;10.85060308;6800000
155;38;18;2;3;3;0;0;3;0;0;2;23.86425156;0.702713183;0.320460172;14.56024708;0.24636723;17.34398276;34.1884727;35.49780844;1000000
156;59;38;2;4;4;0;0;6;2;0;5;2.314932447;0.157949817;0.270443565;0.514905128;0.090303909;2.491080026;13.38243848;14.84491007;6450000
157;44;29;4;3;6;1;1;4;3;0;3;1.224234496;0.31084328;0.387556745;0.96930469;0.461249934;9.972442769;5.465893167;6.789300619;6900000
158;54;35;5;6;8;0;0;5;2;0;5;0.153965363;0.12691748;0.24266687;0.310319923;0.283729973;5.312333165;10.84811827;12.15905325;7000000
159;60;42;2;2;3;0;0;7;3;0;6;5.514908787;0.192249213;0.256272842;1.642006906;0.338183676;4.506409872;8.726978064;9.60860168;7500000
160;34;19;3;5;5;0;0;4;3;0;5;0.622105588;0.277757637;0.365959164;0.259581582;0.06525658;2.479115227;16.42116323;17.28112745;5200000
161;86;50;18;13;14;0;0;16;16;0;15;0.571419745;0.073776877;0.538641054;0.328564455;0.143627116;4.377001264;12.25925548;13.10362639;10800000
162;36;19;8;5;5;0;0;3;2;0;2;0.410992001;0.353761554;0.254665218;1.437915922;0.238555126;5.8734973;10.13215815;11.61326164;5250000
163;74;45;11;11;13;1;0;13;4;0;4;1.629092262;0.544741037;0.512379017;3.058586548;0.084933879;3.920782937;21.75907617;22.44709443;9850000
164;39;21;6;6;6;0;0;6;1;0;8;1.303033574;0.080649015;0.894264623;2.138351438;0.023425463;0.325521963;18.49983612;19.15980422;5700000
165;85;54;9;3;3;0;0;3;0;0;2;23.58571295;0.382637583;0.415023831;15.77468133;0.394689513;18.53267426;35.39299157;36.69800406;1000000
166;36;19;11;5;5;0;1;7;6;0;3;2.273728864;0.226806711;0.275361331;0.945094518;0;4.545806467;13.12451947;13.76365791;2000000
167;44;28;7;4;4;0;0;3;2;0;4;1.557079662;0.088333105;0.593581242;1.806174235;0.214584051;5.197758604;10.86695004;12.35354292;5550000
168;38;20;12;11;13;1;0;13;4;0;4;0.214986105;0.333347175;0.409029865;2.422462747;0.070481493;4.46946491;22.36546757;23.05048525;3000000
169;47;31;3;2;3;0;0;7;3;0;6;1.351300441;0.269420403;0.29427543;0.927217123;0.054322054;2.065640167;11.74688765;12.60312985;6500000
170;42;26;4;5;8;0;0;6;1;1;3;2.452028002;0.276454099;0.190853891;1.680037763;0.64607582;8.810893347;7.957987603;8.650671133;6400000
171;115;60;7;7;7;0;0;14;1;0;6;1.771306145;0.1476016;0.165629478;0.750029564;0.030519342;3.001259643;11.36463105;12.37653429;37000000
172;32;18;1;5;5;0;0;4;5;0;2;1.36334192;0.188110394;0.297953371;0.465331732;0.034161884000000003;6.896591342;8.433379043;9.288873485;4450000
173;30;18;8;2;2;0;0;4;1;0;7;1.258683479;0.164913002;0.785161655;3.350836834;0.512774907;9.699936812;5.025837665;5.788287122;5000000
174;37;22;4;7;9;0;0;8;4;0;2;0.33381748;0.148034688;0.055977796;2.008893788;0.291747664;5.525529364;7.783332947;9.568890071;6000000
175;44;30;3;8;8;1;0;7;8;0;5;0.907855607;0.168711009;0.447311516;1.179957863;0.123075078;4.356453003;9.512495056;10.5333784;5600000
176;35;22;5;6;6;0;0;8;3;0;3;4.005049658;6.28407e-4;0.30496371;0.572746769;0.20802956;2.285805786;17.03247932;17.54223594;4300000
177;30;18;3;5;9;0;0;12;5;0;11;3.130927036;0.495755563;0.709855706;2.642322546;0.933384119;11.89555648;3.691447698;4.129298893;4400000
178;78;74;3;4;4;0;0;10;2;0;1;1.848625975;0.359718933;0.293509646;0.404467598;0.6326343;1.956417519;13.56498693;14.9610073;11900000
179;98;94;NA;4;4;0;0;7;1;0;4;7.078703337;0.089662632;0.639554939;1.380931616;0;4.386131526;21.00784695;22.34003367;11500000
180;32;21;7;7;7;0;0;13;0;0;2;0.810873077;0.131537449;0.408789264;2.146832186;0.721786392;3.938776415;8.211922248;9.843632861;5050000
