"dt","debet","credit","saldo","acc","client","acc_name"
2020-10-11,0.000,0.000,134476681.000,KZ069982WM0000003928,"рюкдшйнпцюмяйхи тхкхюк юйжхнмепмнцн наыеярбю ""FIRST HEARTLAND J?SAN BANK""",мюкхвмнярэ б йюяяе йкюднбни тхкхюкю 230 б KZT
2020-10-12,18735714.000,23652781.000,129559614.000,KZ069982WM0000003928,"рюкдшйнпцюмяйхи тхкхюк юйжхнмепмнцн наыеярбю ""FIRST HEARTLAND J?SAN BANK""",мюкхвмнярэ б йюяяе йкюднбни тхкхюкю 230 б KZT
2020-10-13,16681208.000,28809614.000,117431208.000,KZ069982WM0000003928,"рюкдшйнпцюмяйхи тхкхюк юйжхнмепмнцн наыеярбю ""FIRST HEARTLAND J?SAN BANK""",мюкхвмнярэ б йюяяе йкюднбни тхкхюкю 230 б KZT
2020-10-14,27618602.000,26555418.000,118494392.000,KZ069982WM0000003928,"рюкдшйнпцюмяйхи тхкхюк юйжхнмепмнцн наыеярбю ""FIRST HEARTLAND J?SAN BANK""",мюкхвмнярэ б йюяяе йкюднбни тхкхюкю 230 б KZT
2020-10-15,38018283.000,48118602.000,108394073.000,KZ069982WM0000003928,"рюкдшйнпцюмяйхи тхкхюк юйжхнмепмнцн наыеярбю ""FIRST HEARTLAND J?SAN BANK""",мюкхвмнярэ б йюяяе йкюднбни тхкхюкю 230 б KZT
2020-10-16,27311880.000,18018283.000,117687670.000,KZ069982WM0000003928,"рюкдшйнпцюмяйхи тхкхюк юйжхнмепмнцн наыеярбю ""FIRST HEARTLAND J?SAN BANK""",мюкхвмнярэ б йюяяе йкюднбни тхкхюкю 230 б KZT
2020-10-17,0.000,0.000,117687670.000,KZ069982WM0000003928,"рюкдшйнпцюмяйхи тхкхюк юйжхнмепмнцн наыеярбю ""FIRST HEARTLAND J?SAN BANK""",мюкхвмнярэ б йюяяе йкюднбни тхкхюкю 230 б KZT
2020-10-18,0.000,0.000,117687670.000,KZ069982WM0000003928,"рюкдшйнпцюмяйхи тхкхюк юйжхнмепмнцн наыеярбю ""FIRST HEARTLAND J?SAN BANK""",мюкхвмнярэ б йюяяе йкюднбни тхкхюкю 230 б KZT
2020-10-19,29780632.000,27311880.000,120156422.000,KZ069982WM0000003928,"рюкдшйнпцюмяйхи тхкхюк юйжхнмепмнцн наыеярбю ""FIRST HEARTLAND J?SAN BANK""",мюкхвмнярэ б йюяяе йкюднбни тхкхюкю 230 б KZT
2020-10-20,60434722.000,59930632.000,120660512.000,KZ069982WM0000003928,"рюкдшйнпцюмяйхи тхкхюк юйжхнмепмнцн наыеярбю ""FIRST HEARTLAND J?SAN BANK""",мюкхвмнярэ б йюяяе йкюднбни тхкхюкю 230 б KZT
2020-10-21,31133823.000,44494722.000,107299613.000,KZ069982WM0000003928,"рюкдшйнпцюмяйхи тхкхюк юйжхнмепмнцн наыеярбю ""FIRST HEARTLAND J?SAN BANK""",мюкхвмнярэ б йюяяе йкюднбни тхкхюкю 230 б KZT
2020-10-22,36846337.000,30133823.000,114012127.000,KZ069982WM0000003928,"рюкдшйнпцюмяйхи тхкхюк юйжхнмепмнцн наыеярбю ""FIRST HEARTLAND J?SAN BANK""",мюкхвмнярэ б йюяяе йкюднбни тхкхюкю 230 б KZT
2020-10-23,46148759.000,52346337.000,107814549.000,KZ069982WM0000003928,"рюкдшйнпцюмяйхи тхкхюк юйжхнмепмнцн наыеярбю ""FIRST HEARTLAND J?SAN BANK""",мюкхвмнярэ б йюяяе йкюднбни тхкхюкю 230 б KZT
2020-10-24,0.000,0.000,107814549.000,KZ069982WM0000003928,"рюкдшйнпцюмяйхи тхкхюк юйжхнмепмнцн наыеярбю ""FIRST HEARTLAND J?SAN BANK""",мюкхвмнярэ б йюяяе йкюднбни тхкхюкю 230 б KZT
2020-10-25,0.000,0.000,107814549.000,KZ069982WM0000003928,"рюкдшйнпцюмяйхи тхкхюк юйжхнмепмнцн наыеярбю ""FIRST HEARTLAND J?SAN BANK""",мюкхвмнярэ б йюяяе йкюднбни тхкхюкю 230 б KZT
2020-10-26,24420467.000,21148759.000,111086257.000,KZ069982WM0000003928,"рюкдшйнпцюмяйхи тхкхюк юйжхнмепмнцн наыеярбю ""FIRST HEARTLAND J?SAN BANK""",мюкхвмнярэ б йюяяе йкюднбни тхкхюкю 230 б KZT
2020-10-27,35920008.000,31498757.000,115507508.000,KZ069982WM0000003928,"рюкдшйнпцюмяйхи тхкхюк юйжхнмепмнцн наыеярбю ""FIRST HEARTLAND J?SAN BANK""",мюкхвмнярэ б йюяяе йкюднбни тхкхюкю 230 б KZT
2020-10-28,34378754.000,33913718.000,115972544.000,KZ069982WM0000003928,"рюкдшйнпцюмяйхи тхкхюк юйжхнмепмнцн наыеярбю ""FIRST HEARTLAND J?SAN BANK""",мюкхвмнярэ б йюяяе йкюднбни тхкхюкю 230 б KZT
2020-10-29,40608398.000,47875254.000,108705688.000,KZ069982WM0000003928,"рюкдшйнпцюмяйхи тхкхюк юйжхнмепмнцн наыеярбю ""FIRST HEARTLAND J?SAN BANK""",мюкхвмнярэ б йюяяе йкюднбни тхкхюкю 230 б KZT
2020-10-30,37156189.000,56608398.000,89253479.000,KZ069982WM0000003928,"рюкдшйнпцюмяйхи тхкхюк юйжхнмепмнцн наыеярбю ""FIRST HEARTLAND J?SAN BANK""",мюкхвмнярэ б йюяяе йкюднбни тхкхюкю 230 б KZT
2020-10-31,0.000,0.000,89253479.000,KZ069982WM0000003928,"рюкдшйнпцюмяйхи тхкхюк юйжхнмепмнцн наыеярбю ""FIRST HEARTLAND J?SAN BANK""",мюкхвмнярэ б йюяяе йкюднбни тхкхюкю 230 б KZT
2020-11-01,0.000,0.000,89253479.000,KZ069982WM0000003928,"рюкдшйнпцюмяйхи тхкхюк юйжхнмепмнцн наыеярбю ""FIRST HEARTLAND J?SAN BANK""",мюкхвмнярэ б йюяяе йкюднбни тхкхюкю 230 б KZT
2020-11-02,37303372.000,58853689.000,67703162.000,KZ069982WM0000003928,"рюкдшйнпцюмяйхи тхкхюк юйжхнмепмнцн наыеярбю ""FIRST HEARTLAND J?SAN BANK""",мюкхвмнярэ б йюяяе йкюднбни тхкхюкю 230 б KZT
2020-11-03,23864718.000,42182372.000,49385508.000,KZ069982WM0000003928,"рюкдшйнпцюмяйхи тхкхюк юйжхнмепмнцн наыеярбю ""FIRST HEARTLAND J?SAN BANK""",мюкхвмнярэ б йюяяе йкюднбни тхкхюкю 230 б KZT
2020-11-04,37230912.000,33864718.000,52751702.000,KZ069982WM0000003928,"рюкдшйнпцюмяйхи тхкхюк юйжхнмепмнцн наыеярбю ""FIRST HEARTLAND J?SAN BANK""",мюкхвмнярэ б йюяяе йкюднбни тхкхюкю 230 б KZT
2020-11-05,131559459.000,35230912.000,149080249.000,KZ069982WM0000003928,"рюкдшйнпцюмяйхи тхкхюк юйжхнмепмнцн наыеярбю ""FIRST HEARTLAND J?SAN BANK""",мюкхвмнярэ б йюяяе йкюднбни тхкхюкю 230 б KZT
2020-11-06,50779500.000,47837959.000,152021790.000,KZ069982WM0000003928,"рюкдшйнпцюмяйхи тхкхюк юйжхнмепмнцн наыеярбю ""FIRST HEARTLAND J?SAN BANK""",мюкхвмнярэ б йюяяе йкюднбни тхкхюкю 230 б KZT
2020-11-07,0.000,0.000,152021790.000,KZ069982WM0000003928,"рюкдшйнпцюмяйхи тхкхюк юйжхнмепмнцн наыеярбю ""FIRST HEARTLAND J?SAN BANK""",мюкхвмнярэ б йюяяе йкюднбни тхкхюкю 230 б KZT
2020-11-08,0.000,0.000,152021790.000,KZ069982WM0000003928,"рюкдшйнпцюмяйхи тхкхюк юйжхнмепмнцн наыеярбю ""FIRST HEARTLAND J?SAN BANK""",мюкхвмнярэ б йюяяе йкюднбни тхкхюкю 230 б KZT
2020-11-09,47908861.000,37751500.000,162179151.000,KZ069982WM0000003928,"рюкдшйнпцюмяйхи тхкхюк юйжхнмепмнцн наыеярбю ""FIRST HEARTLAND J?SAN BANK""",мюкхвмнярэ б йюяяе йкюднбни тхкхюкю 230 б KZT
2020-11-10,61397840.000,39908861.000,183668130.000,KZ069982WM0000003928,"рюкдшйнпцюмяйхи тхкхюк юйжхнмепмнцн наыеярбю ""FIRST HEARTLAND J?SAN BANK""",мюкхвмнярэ б йюяяе йкюднбни тхкхюкю 230 б KZT
2020-11-11,38776627.000,52897840.000,169546917.000,KZ069982WM0000003928,"рюкдшйнпцюмяйхи тхкхюк юйжхнмепмнцн наыеярбю ""FIRST HEARTLAND J?SAN BANK""",мюкхвмнярэ б йюяяе йкюднбни тхкхюкю 230 б KZT
2020-11-12,40544999.000,27776627.000,182315289.000,KZ069982WM0000003928,"рюкдшйнпцюмяйхи тхкхюк юйжхнмепмнцн наыеярбю ""FIRST HEARTLAND J?SAN BANK""",мюкхвмнярэ б йюяяе йкюднбни тхкхюкю 230 б KZT
2020-11-13,32141641.000,14744999.000,199711931.000,KZ069982WM0000003928,"рюкдшйнпцюмяйхи тхкхюк юйжхнмепмнцн наыеярбю ""FIRST HEARTLAND J?SAN BANK""",мюкхвмнярэ б йюяяе йкюднбни тхкхюкю 230 б KZT
2020-11-14,0.000,0.000,199711931.000,KZ069982WM0000003928,"рюкдшйнпцюмяйхи тхкхюк юйжхнмепмнцн наыеярбю ""FIRST HEARTLAND J?SAN BANK""",мюкхвмнярэ б йюяяе йкюднбни тхкхюкю 230 б KZT
2020-11-15,0.000,0.000,199711931.000,KZ069982WM0000003928,"рюкдшйнпцюмяйхи тхкхюк юйжхнмепмнцн наыеярбю ""FIRST HEARTLAND J?SAN BANK""",мюкхвмнярэ б йюяяе йкюднбни тхкхюкю 230 б KZT
2020-11-16,56635211.000,56641641.000,199705501.000,KZ069982WM0000003928,"рюкдшйнпцюмяйхи тхкхюк юйжхнмепмнцн наыеярбю ""FIRST HEARTLAND J?SAN BANK""",мюкхвмнярэ б йюяяе йкюднбни тхкхюкю 230 б KZT
2020-11-17,64003246.000,85135211.000,178573536.000,KZ069982WM0000003928,"рюкдшйнпцюмяйхи тхкхюк юйжхнмепмнцн наыеярбю ""FIRST HEARTLAND J?SAN BANK""",мюкхвмнярэ б йюяяе йкюднбни тхкхюкю 230 б KZT
2020-11-18,37822350.000,63295536.000,153100350.000,KZ069982WM0000003928,"рюкдшйнпцюмяйхи тхкхюк юйжхнмепмнцн наыеярбю ""FIRST HEARTLAND J?SAN BANK""",мюкхвмнярэ б йюяяе йкюднбни тхкхюкю 230 б KZT
2020-11-19,53185686.000,37690350.000,168595686.000,KZ069982WM0000003928,"рюкдшйнпцюмяйхи тхкхюк юйжхнмепмнцн наыеярбю ""FIRST HEARTLAND J?SAN BANK""",мюкхвмнярэ б йюяяе йкюднбни тхкхюкю 230 б KZT
2020-11-20,28575304.000,28185686.000,168985304.000,KZ069982WM0000003928,"рюкдшйнпцюмяйхи тхкхюк юйжхнмепмнцн наыеярбю ""FIRST HEARTLAND J?SAN BANK""",мюкхвмнярэ б йюяяе йкюднбни тхкхюкю 230 б KZT
2020-11-21,0.000,0.000,168985304.000,KZ069982WM0000003928,"рюкдшйнпцюмяйхи тхкхюк юйжхнмепмнцн наыеярбю ""FIRST HEARTLAND J?SAN BANK""",мюкхвмнярэ б йюяяе йкюднбни тхкхюкю 230 б KZT
2020-11-22,0.000,0.000,168985304.000,KZ069982WM0000003928,"рюкдшйнпцюмяйхи тхкхюк юйжхнмепмнцн наыеярбю ""FIRST HEARTLAND J?SAN BANK""",мюкхвмнярэ б йюяяе йкюднбни тхкхюкю 230 б KZT
2020-11-23,48242346.000,66575304.000,150652346.000,KZ069982WM0000003928,"рюкдшйнпцюмяйхи тхкхюк юйжхнмепмнцн наыеярбю ""FIRST HEARTLAND J?SAN BANK""",мюкхвмнярэ б йюяяе йкюднбни тхкхюкю 230 б KZT
2020-11-24,49673518.000,33270346.000,167055518.000,KZ069982WM0000003928,"рюкдшйнпцюмяйхи тхкхюк юйжхнмепмнцн наыеярбю ""FIRST HEARTLAND J?SAN BANK""",мюкхвмнярэ б йюяяе йкюднбни тхкхюкю 230 б KZT
2020-11-25,29866898.000,41146018.000,155776398.000,KZ069982WM0000003928,"рюкдшйнпцюмяйхи тхкхюк юйжхнмепмнцн наыеярбю ""FIRST HEARTLAND J?SAN BANK""",мюкхвмнярэ б йюяяе йкюднбни тхкхюкю 230 б KZT
2020-11-26,25779091.000,23866898.000,157688591.000,KZ069982WM0000003928,"рюкдшйнпцюмяйхи тхкхюк юйжхнмепмнцн наыеярбю ""FIRST HEARTLAND J?SAN BANK""",мюкхвмнярэ б йюяяе йкюднбни тхкхюкю 230 б KZT
2020-11-27,27452137.000,25779091.000,159361637.000,KZ069982WM0000003928,"рюкдшйнпцюмяйхи тхкхюк юйжхнмепмнцн наыеярбю ""FIRST HEARTLAND J?SAN BANK""",мюкхвмнярэ б йюяяе йкюднбни тхкхюкю 230 б KZT
2020-11-28,0.000,0.000,159361637.000,KZ069982WM0000003928,"рюкдшйнпцюмяйхи тхкхюк юйжхнмепмнцн наыеярбю ""FIRST HEARTLAND J?SAN BANK""",мюкхвмнярэ б йюяяе йкюднбни тхкхюкю 230 б KZT
2020-11-29,0.000,0.000,159361637.000,KZ069982WM0000003928,"рюкдшйнпцюмяйхи тхкхюк юйжхнмепмнцн наыеярбю ""FIRST HEARTLAND J?SAN BANK""",мюкхвмнярэ б йюяяе йкюднбни тхкхюкю 230 б KZT
2020-11-30,37729420.000,48084137.000,149006920.000,KZ069982WM0000003928,"рюкдшйнпцюмяйхи тхкхюк юйжхнмепмнцн наыеярбю ""FIRST HEARTLAND J?SAN BANK""",мюкхвмнярэ б йюяяе йкюднбни тхкхюкю 230 б KZT
2020-12-01,0.000,0.000,149006920.000,KZ069982WM0000003928,"рюкдшйнпцюмяйхи тхкхюк юйжхнмепмнцн наыеярбю ""FIRST HEARTLAND J?SAN BANK""",мюкхвмнярэ б йюяяе йкюднбни тхкхюкю 230 б KZT
2020-12-02,24179759.000,41557420.000,131629259.000,KZ069982WM0000003928,"рюкдшйнпцюмяйхи тхкхюк юйжхнмепмнцн наыеярбю ""FIRST HEARTLAND J?SAN BANK""",мюкхвмнярэ б йюяяе йкюднбни тхкхюкю 230 б KZT
2020-12-03,26948033.000,42679759.000,115897533.000,KZ069982WM0000003928,"рюкдшйнпцюмяйхи тхкхюк юйжхнмепмнцн наыеярбю ""FIRST HEARTLAND J?SAN BANK""",мюкхвмнярэ б йюяяе йкюднбни тхкхюкю 230 б KZT
2020-12-04,32952569.000,47948033.000,100902069.000,KZ069982WM0000003928,"рюкдшйнпцюмяйхи тхкхюк юйжхнмепмнцн наыеярбю ""FIRST HEARTLAND J?SAN BANK""",мюкхвмнярэ б йюяяе йкюднбни тхкхюкю 230 б KZT
2020-12-05,0.000,0.000,100902069.000,KZ069982WM0000003928,"рюкдшйнпцюмяйхи тхкхюк юйжхнмепмнцн наыеярбю ""FIRST HEARTLAND J?SAN BANK""",мюкхвмнярэ б йюяяе йкюднбни тхкхюкю 230 б KZT
2020-12-06,0.000,0.000,100902069.000,KZ069982WM0000003928,"рюкдшйнпцюмяйхи тхкхюк юйжхнмепмнцн наыеярбю ""FIRST HEARTLAND J?SAN BANK""",мюкхвмнярэ б йюяяе йкюднбни тхкхюкю 230 б KZT
2020-12-07,61840046.000,33252069.000,129490046.000,KZ069982WM0000003928,"рюкдшйнпцюмяйхи тхкхюк юйжхнмепмнцн наыеярбю ""FIRST HEARTLAND J?SAN BANK""",мюкхвмнярэ б йюяяе йкюднбни тхкхюкю 230 б KZT
2020-12-08,38456353.000,36707546.000,131238853.000,KZ069982WM0000003928,"рюкдшйнпцюмяйхи тхкхюк юйжхнмепмнцн наыеярбю ""FIRST HEARTLAND J?SAN BANK""",мюкхвмнярэ б йюяяе йкюднбни тхкхюкю 230 б KZT
2020-12-09,34915281.000,44956353.000,121197781.000,KZ069982WM0000003928,"рюкдшйнпцюмяйхи тхкхюк юйжхнмепмнцн наыеярбю ""FIRST HEARTLAND J?SAN BANK""",мюкхвмнярэ б йюяяе йкюднбни тхкхюкю 230 б KZT
2020-12-10,42661016.000,39915281.000,123943516.000,KZ069982WM0000003928,"рюкдшйнпцюмяйхи тхкхюк юйжхнмепмнцн наыеярбю ""FIRST HEARTLAND J?SAN BANK""",мюкхвмнярэ б йюяяе йкюднбни тхкхюкю 230 б KZT
2020-12-11,43185966.000,40661016.000,126468466.000,KZ069982WM0000003928,"рюкдшйнпцюмяйхи тхкхюк юйжхнмепмнцн наыеярбю ""FIRST HEARTLAND J?SAN BANK""",мюкхвмнярэ б йюяяе йкюднбни тхкхюкю 230 б KZT
2020-12-12,0.000,0.000,126468466.000,KZ069982WM0000003928,"рюкдшйнпцюмяйхи тхкхюк юйжхнмепмнцн наыеярбю ""FIRST HEARTLAND J?SAN BANK""",мюкхвмнярэ б йюяяе йкюднбни тхкхюкю 230 б KZT
2020-12-13,0.000,0.000,126468466.000,KZ069982WM0000003928,"рюкдшйнпцюмяйхи тхкхюк юйжхнмепмнцн наыеярбю ""FIRST HEARTLAND J?SAN BANK""",мюкхвмнярэ б йюяяе йкюднбни тхкхюкю 230 б KZT
2020-12-14,56759300.000,53185966.000,130041800.000,KZ069982WM0000003928,"рюкдшйнпцюмяйхи тхкхюк юйжхнмепмнцн наыеярбю ""FIRST HEARTLAND J?SAN BANK""",мюкхвмнярэ б йюяяе йкюднбни тхкхюкю 230 б KZT
2020-12-15,38444965.000,34559300.000,133927465.000,KZ069982WM0000003928,"рюкдшйнпцюмяйхи тхкхюк юйжхнмепмнцн наыеярбю ""FIRST HEARTLAND J?SAN BANK""",мюкхвмнярэ б йюяяе йкюднбни тхкхюкю 230 б KZT
2020-12-16,0.000,0.000,133927465.000,KZ069982WM0000003928,"рюкдшйнпцюмяйхи тхкхюк юйжхнмепмнцн наыеярбю ""FIRST HEARTLAND J?SAN BANK""",мюкхвмнярэ б йюяяе йкюднбни тхкхюкю 230 б KZT
2020-12-17,0.000,0.000,133927465.000,KZ069982WM0000003928,"рюкдшйнпцюмяйхи тхкхюк юйжхнмепмнцн наыеярбю ""FIRST HEARTLAND J?SAN BANK""",мюкхвмнярэ б йюяяе йкюднбни тхкхюкю 230 б KZT
2020-12-18,0.000,0.000,133927465.000,KZ069982WM0000003928,"рюкдшйнпцюмяйхи тхкхюк юйжхнмепмнцн наыеярбю ""FIRST HEARTLAND J?SAN BANK""",мюкхвмнярэ б йюяяе йкюднбни тхкхюкю 230 б KZT
2020-12-19,0.000,0.000,133927465.000,KZ069982WM0000003928,"рюкдшйнпцюмяйхи тхкхюк юйжхнмепмнцн наыеярбю ""FIRST HEARTLAND J?SAN BANK""",мюкхвмнярэ б йюяяе йкюднбни тхкхюкю 230 б KZT
2020-12-20,27964271.000,42444965.000,119446771.000,KZ069982WM0000003928,"рюкдшйнпцюмяйхи тхкхюк юйжхнмепмнцн наыеярбю ""FIRST HEARTLAND J?SAN BANK""",мюкхвмнярэ б йюяяе йкюднбни тхкхюкю 230 б KZT
2020-12-21,33942613.000,21096771.000,132292613.000,KZ069982WM0000003928,"рюкдшйнпцюмяйхи тхкхюк юйжхнмепмнцн наыеярбю ""FIRST HEARTLAND J?SAN BANK""",мюкхвмнярэ б йюяяе йкюднбни тхкхюкю 230 б KZT
2020-12-22,40745188.000,57699313.000,115338488.000,KZ069982WM0000003928,"рюкдшйнпцюмяйхи тхкхюк юйжхнмепмнцн наыеярбю ""FIRST HEARTLAND J?SAN BANK""",мюкхвмнярэ б йюяяе йкюднбни тхкхюкю 230 б KZT
2020-12-23,118119088.000,98605188.000,134852388.000,KZ069982WM0000003928,"рюкдшйнпцюмяйхи тхкхюк юйжхнмепмнцн наыеярбю ""FIRST HEARTLAND J?SAN BANK""",мюкхвмнярэ б йюяяе йкюднбни тхкхюкю 230 б KZT
2020-12-24,52302951.000,50221588.000,136933751.000,KZ069982WM0000003928,"рюкдшйнпцюмяйхи тхкхюк юйжхнмепмнцн наыеярбю ""FIRST HEARTLAND J?SAN BANK""",мюкхвмнярэ б йюяяе йкюднбни тхкхюкю 230 б KZT
2020-12-25,43118068.000,71302951.000,108748868.000,KZ069982WM0000003928,"рюкдшйнпцюмяйхи тхкхюк юйжхнмепмнцн наыеярбю ""FIRST HEARTLAND J?SAN BANK""",мюкхвмнярэ б йюяяе йкюднбни тхкхюкю 230 б KZT
2020-12-26,0.000,0.000,108748868.000,KZ069982WM0000003928,"рюкдшйнпцюмяйхи тхкхюк юйжхнмепмнцн наыеярбю ""FIRST HEARTLAND J?SAN BANK""",мюкхвмнярэ б йюяяе йкюднбни тхкхюкю 230 б KZT
2020-12-27,0.000,0.000,108748868.000,KZ069982WM0000003928,"рюкдшйнпцюмяйхи тхкхюк юйжхнмепмнцн наыеярбю ""FIRST HEARTLAND J?SAN BANK""",мюкхвмнярэ б йюяяе йкюднбни тхкхюкю 230 б KZT
2020-12-28,85437848.000,48204768.000,145981948.000,KZ069982WM0000003928,"рюкдшйнпцюмяйхи тхкхюк юйжхнмепмнцн наыеярбю ""FIRST HEARTLAND J?SAN BANK""",мюкхвмнярэ б йюяяе йкюднбни тхкхюкю 230 б KZT
2020-12-29,24524220.000,72068548.000,98437620.000,KZ069982WM0000003928,"рюкдшйнпцюмяйхи тхкхюк юйжхнмепмнцн наыеярбю ""FIRST HEARTLAND J?SAN BANK""",мюкхвмнярэ б йюяяе йкюднбни тхкхюкю 230 б KZT
2020-12-30,67290609.000,59914120.000,105814109.000,KZ069982WM0000003928,"рюкдшйнпцюмяйхи тхкхюк юйжхнмепмнцн наыеярбю ""FIRST HEARTLAND J?SAN BANK""",мюкхвмнярэ б йюяяе йкюднбни тхкхюкю 230 б KZT
2020-12-31,148265882.000,105814109.000,148265882.000,KZ069982WM0000003928,"рюкдшйнпцюмяйхи тхкхюк юйжхнмепмнцн наыеярбю ""FIRST HEARTLAND J?SAN BANK""",мюкхвмнярэ б йюяяе йкюднбни тхкхюкю 230 б KZT
2021-01-01,0.000,0.000,148265882.000,KZ069982WM0000003928,"рюкдшйнпцюмяйхи тхкхюк юйжхнмепмнцн наыеярбю ""FIRST HEARTLAND J?SAN BANK""",мюкхвмнярэ б йюяяе йкюднбни тхкхюкю 230 б KZT
2021-01-02,0.000,0.000,148265882.000,KZ069982WM0000003928,"рюкдшйнпцюмяйхи тхкхюк юйжхнмепмнцн наыеярбю ""FIRST HEARTLAND J?SAN BANK""",мюкхвмнярэ б йюяяе йкюднбни тхкхюкю 230 б KZT
2021-01-03,0.000,0.000,148265882.000,KZ069982WM0000003928,"рюкдшйнпцюмяйхи тхкхюк юйжхнмепмнцн наыеярбю ""FIRST HEARTLAND J?SAN BANK""",мюкхвмнярэ б йюяяе йкюднбни тхкхюкю 230 б KZT
2021-01-04,0.000,0.000,148265882.000,KZ069982WM0000003928,"рюкдшйнпцюмяйхи тхкхюк юйжхнмепмнцн наыеярбю ""FIRST HEARTLAND J?SAN BANK""",мюкхвмнярэ б йюяяе йкюднбни тхкхюкю 230 б KZT
2021-01-05,19769542.000,28245582.000,139789842.000,KZ069982WM0000003928,"рюкдшйнпцюмяйхи тхкхюк юйжхнмепмнцн наыеярбю ""FIRST HEARTLAND J?SAN BANK""",мюкхвмнярэ б йюяяе йкюднбни тхкхюкю 230 б KZT
2021-01-06,46292382.000,70269542.000,115812682.000,KZ069982WM0000003928,"рюкдшйнпцюмяйхи тхкхюк юйжхнмепмнцн наыеярбю ""FIRST HEARTLAND J?SAN BANK""",мюкхвмнярэ б йюяяе йкюднбни тхкхюкю 230 б KZT
2021-01-07,0.000,0.000,115812682.000,KZ069982WM0000003928,"рюкдшйнпцюмяйхи тхкхюк юйжхнмепмнцн наыеярбю ""FIRST HEARTLAND J?SAN BANK""",мюкхвмнярэ б йюяяе йкюднбни тхкхюкю 230 б KZT
2021-01-08,18976446.000,35792382.000,98996746.000,KZ069982WM0000003928,"рюкдшйнпцюмяйхи тхкхюк юйжхнмепмнцн наыеярбю ""FIRST HEARTLAND J?SAN BANK""",мюкхвмнярэ б йюяяе йкюднбни тхкхюкю 230 б KZT
2021-01-09,0.000,0.000,98996746.000,KZ069982WM0000003928,"рюкдшйнпцюмяйхи тхкхюк юйжхнмепмнцн наыеярбю ""FIRST HEARTLAND J?SAN BANK""",мюкхвмнярэ б йюяяе йкюднбни тхкхюкю 230 б KZT
2021-01-10,0.000,0.000,98996746.000,KZ069982WM0000003928,"рюкдшйнпцюмяйхи тхкхюк юйжхнмепмнцн наыеярбю ""FIRST HEARTLAND J?SAN BANK""",мюкхвмнярэ б йюяяе йкюднбни тхкхюкю 230 б KZT
2021-01-11,51465810.000,36583346.000,113879210.000,KZ069982WM0000003928,"рюкдшйнпцюмяйхи тхкхюк юйжхнмепмнцн наыеярбю ""FIRST HEARTLAND J?SAN BANK""",мюкхвмнярэ б йюяяе йкюднбни тхкхюкю 230 б KZT
